怀	647
挂	939
耀	1778
涉	1898
谈	391
邋	3593
伊	1275
随	365
茂	2255
抗	1607
脖	2179
料	775
绊	3030
溟	2150
洞	1759
造	1010
咣	2489
錢	3805
瘤	3385
缪	3567
般	739
潜	2071
河	1289
欲	1430
侵	2640
临	972
然	72
吸	1269
场	362
宽	1724
娼	3538
线	1083
捂	3177
楞	3664
反	330
牌	1062
盏	3150
姑	199
院	370
嚏	3031
苗	1773
庸	2643
拥	1630
窗	1593
话	76
滟	3342
赞	1624
凡	614
瓣	3204
卢	2223
知	52
除	565
巩	3875
惫	3655
罪	653
揭	2502
扬	908
衰	2522
泳	1946
其	226
闹	531
呸	1700
驼	3245
绿	1151
渔	3042
愁	1682
掂	3627
暄	3912
覆	2806
沈	832
個	2207
睬	3539
颐	1333
引	997
应	151
枚	2713
謝	3205
玮	2964
儡	3284
厢	2127
假	490
崩	2540
循	3122
抬	1556
是	6
械	3225
讲	495
麟	2960
爷	185
锹	2864
咸	2571
噶	3745
贞	2051
鸿	2040
胀	3496
视	744
俊	990
嗎	2017
契	1922
寒	769
录	1570
绔	3594
典	1562
教	347
也	30
嘤	3518
艾	1431
汹	3341
秦	772
嵩	3685
峨	3432
k	2309
括	2165
景	916
潼	3478
熠	2619
诲	3313
滴	1501
凶	1186
铸	3497
须	854
基	1235
孽	1709
广	1075
巾	2029
萁	3521
Ｊ	3806
門	3913
沉	1263
醋	1225
上	39
后	81
频	2360
餐	695
經	3612
蚂	2840
底	262
怖	2256
蒙	1689
啷	2913
售	2258
剛	2865
辟	3479
厄	3206
堰	3433
<s>	0
芭	2965
茬	3178
枯	2760
惜	625
袱	3179
足	755
亵	3760
伴	1154
痒	1929
离	237
媽	2866
鬼	489
羿	3456
尾	1747
胁	1814
灿	3032
框	3519
泉	1775
凋	3947
蹊	3434
罩	2703
绕	2083
V	1695
槛	3435
虚	1087
迟	757
郡	1968
嗣	2893
牢	1533
坤	2607
犟	3576
拭	3180
柯	2121
稼	3876
棱	3657
跳	667
該	3363
轴	3877
号	696
偶	1304
啸	2867
姻	1511
贾	1993
老	87
膀	2031
节	705
蘅	3386
构	2631
梆	3761
消	526
厌	657
霏	2438
璎	1576
乒	3375
這	1696
媒	2003
帕	2422
羔	3613
茗	2201
肖	1302
侃	3731
伟	1571
冠	2058
踝	3658
纪	710
术	687
辜	1746
課	3730
猷	3659
吹	1117
稽	3498
精	547
A	1134
臀	3878
拂	3181
柄	2807
歇	1257
汉	1310
珍	1171
克	1078
今	107
前	133
双	619
坏	439
哎	351
塑	2789
